,<H1>,<h>,<body>,<tail>,Skt SLP1,Skt AS,<hom> homonym,<L>,<pc>,italic <i>,bold <b>,Sanskrit <s>,line break <br/> E,line break <lb/> E,column break <cb/> E,paragraph <P/> E,sub-paragraph <P1/> E,headline <H/> E,italic headline <HI/> E,Greek <g>,Arabic <A>,Arabic <Arabic>,sperrsatz <wide>,footnote <F>,picture <pic>,pic name @name,<Picture/> text diagram E,<sic>,<Poem>,<divm> section,C <C/> Column E,Attr n C 1-11,Column 1 <C1/> E,Column 2 <C2/> E,Column 2 <C2H/> E,Column 3 <C3H/> E,Column 3 <C3/> E,Column 4 <C4/> E,Column 5 <C5/> E,Column 6  <C6/> E,Column 7 <C7/> E,Column 8 <C8/> E,Column 9 <C9/> E,Column 10 <c10/> E,Column 11 <C11/> E,<NI> Numbered Paragraph,<nd>,Second Title <S>,<noti>,<gram>,<ls> literary sources,Question <quest> (E),<HI>,slav,<R> Russian,<plus/> E subheading beginning,<Caus/> causal subheading,<Intens/> ,<mdash/>,<c> capitalized botanical,<edit/> E,<UL/> line break?,<NV>,<VN>,<lang>,,,,,,,,,,,,,,,,,,,,,,,,
acc,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i,body/b,body/s,body/br | body/i/br | body/b/br | body/s/br | body/F/br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s,,body/lb | body/i/lb | body/b/lb | body/s/lb | body/quest/lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,body/quest | body/i/quest | body/b/quest | body/s/quest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s | body/b/s,body/br,body/lb,,,,,,,,,body/i/wide (undefined),,,,,body/i/sic (undefined),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ap90,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s | body/b/s,,body/lb | body/i/lb | body/b/lb | body/s/lb,,body/P,,body/H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ben,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,body/s,,body/lb | body/i/lb | body/b/lb | body/s/lb,,body/P,,,,,,,,,body/pic,body/pic/@name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bhs,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i,body/b,,body/br | body/i/br | body/b/br,,,,,,,body/g | body/i/g | body/b/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bop,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,body/i | body/F/i,,body/s | body/F/s,,body/lb | body/i/lb | body/s/lb  | body/F/lb | body/F//lb,,body/P | body/F/P,,,,body/g | body/i/g | | body/F/g |  | body/F/i/g,,,body/i/wide (undefined),body/F,,,,body/i/sic (undefined),,,,,,,,,,,,,,,,,,,,,,,,,body/HI | body/F/HI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bor,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i,body/b,body/s,body/br | body/i/br | body/b/br | body/s/br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bur,H1,h,body,tail,h/key1,h/key2,,tail/L,tail/pc,body/i,body/b,body/s,br (not allowed in body!!!),,,body/P,,body/H,,body/g | body/i/g ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cae,H1,h,body,tail,h/key1,h/key2,h/hom,tail/L,tail/pc,,,body/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
